month,barangay,age,gender,employment_status,educational_attainment,current_skill,work_experience,desired_career,applied_course
3,Mailum,22,Male,Unemployed,Senior High,Electrical Repair,Agriculture,Construction,Electrical Installation and Maintenance NC II
10,Taloc,38,Male,Unemployed,Senior High,Carpentry,Construction,Construction,Carpentry NC II
8,Busay,36,Female,Self-employed,Junior High,Baking,Retail,Hospitality,Bread and Pastry NC II
6,Mailum,43,Female,Unemployed,Senior High,Cooking,Hospitality,Agriculture,Cookery NC II
10,Lag-asan,25,Male,Wage Employed,College Graduate,Carpentry,Retail,Construction,Carpentry NC II
11,Binubuhan,22,Male,Self-employed,College Undergraduate,Cooking,Hospitality,Hospitality,Cookery NC II
7,Busay,22,Male,Self-employed,Senior High,Cooking,None,Agriculture,Cookery NC II
4,Bagroy,35,Female,Wage Employed,College Undergraduate,Cooking,Retail,Agriculture,Cookery NC II
10,Dulao,42,Female,Underemployed,College Undergraduate,Driving,Agriculture,Transportation,Driving NC II
8,Pacol,38,Male,Unemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Caridad,40,Male,Unemployed,Senior High,Electrical Repair,Construction,ICT,Electrical Installation and Maintenance NC II
9,Busay,29,Male,Underemployed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
1,Busay,26,Male,Wage Employed,College Undergraduate,Computer Literacy,Hospitality,ICT,Computer Systems Servicing NC II
1,Atipuluan,52,Male,Underemployed,College Graduate,Welding,Agriculture,Construction,Shielded Metal Arc Welding NC I
8,Atipuluan,31,Male,Underemployed,Senior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
9,Calumangan,39,Male,Underemployed,Junior High,Masonry,Retail,Construction,Masonry NC II
11,Napoles,29,Female,Self-employed,Junior High,Driving,Transportation,Business,Driving NC II
12,Bacong,40,Female,Underemployed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
6,Bagroy,52,Male,Unemployed,College Graduate,Computer Literacy,ICT,Construction,Computer Systems Servicing NC II
9,Ilijan,28,Female,Wage Employed,Junior High,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
12,Caridad,28,Male,Underemployed,College Undergraduate,Carpentry,Construction,Business,Carpentry NC II
1,Mailum,36,Male,Unemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
2,Caridad,36,Male,Unemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
4,Malingin,36,Female,Underemployed,College Undergraduate,Baking,Retail,Hospitality,Bread and Pastry NC II
11,Taloc,20,Female,Underemployed,Junior High,Driving,None,Transportation,Driving NC II
4,Poblacion,35,Male,Wage Employed,College Undergraduate,Masonry,Agriculture,Construction,Masonry NC II
10,Pacol,40,Male,Self-employed,Junior High,Masonry,ICT,Construction,Masonry NC II
1,Ilijan,23,Male,Underemployed,Elementary Graduate,Baking,Hospitality,Hospitality,Bread and Pastry NC II
11,Busay,18,Male,Unemployed,Junior High,Electrical Repair,Manufacturing,ICT,Electrical Installation and Maintenance NC II
11,Atipuluan,36,Male,Underemployed,Elementary Graduate,Masonry,Construction,Agriculture,Masonry NC II
5,Mailum,41,Male,Self-employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
9,Pacol,45,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Poblacion,25,Female,Underemployed,Junior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
1,Calumangan,32,Male,Self-employed,Junior High,Cooking,Business,Hospitality,Cookery NC II
10,Caridad,29,Male,Unemployed,Elementary Graduate,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
6,Poblacion,23,Male,Wage Employed,College Undergraduate,Baking,Retail,Hospitality,Bread and Pastry NC II
6,Lag-asan,34,Female,Underemployed,Elementary Graduate,Cooking,Retail,Hospitality,Cookery NC II
11,Dulao,41,Male,Self-employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
11,Bagroy,36,Male,Self-employed,College Graduate,Cooking,Hospitality,Business,Cookery NC II
10,Caridad,32,Female,Underemployed,College Undergraduate,Baking,Business,Hospitality,Bread and Pastry NC II
11,Ma-ao,27,Male,Unemployed,Senior High,Driving,Government,Hospitality,Driving NC II
8,Malingin,28,Female,Self-employed,College Undergraduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
5,Busay,29,Male,Wage Employed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
4,Ma-ao,26,Male,Underemployed,Elementary Graduate,Driving,None,Transportation,Driving NC II
8,Sagasa,34,Female,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Sagasa,19,Male,Underemployed,Junior High,Baking,Business,Hospitality,Bread and Pastry NC II
5,Taloc,28,Male,Self-employed,College Undergraduate,Electrical Repair,Government,Construction,Electrical Installation and Maintenance NC II
6,Abuanan,38,Male,Unemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
4,Dulao,39,Male,Underemployed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
11,Bagroy,25,Male,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
6,Taloc,22,Male,Underemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
10,Calumangan,20,Male,Wage Employed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
8,Napoles,40,Male,Underemployed,Elementary Graduate,Driving,Hospitality,Transportation,Driving NC II
6,Alianza,44,Female,Unemployed,Senior High,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
7,Dulao,35,Female,Unemployed,Junior High,Cooking,Business,Agriculture,Cookery NC II
8,Taloc,40,Male,Unemployed,Senior High,Masonry,Agriculture,Construction,Masonry NC II
1,Ma-ao,22,Male,Wage Employed,College Undergraduate,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
9,Alianza,35,Male,Self-employed,Senior High,Masonry,Construction,Construction,Masonry NC II
9,Busay,40,Male,Unemployed,College Undergraduate,Driving,None,Transportation,Driving NC II
7,Bagroy,55,Female,Self-employed,College Graduate,Cooking,Government,Hospitality,Cookery NC II
4,Binubuhan,31,Male,Self-employed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
12,Pacol,19,Female,Self-employed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
10,Binubuhan,41,Male,Self-employed,Senior High,Cooking,Business,Hospitality,Cookery NC II
6,Dulao,30,Female,Unemployed,Junior High,Baking,Business,Hospitality,Bread and Pastry NC II
10,Binubuhan,32,Male,Wage Employed,College Undergraduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
9,Bacong,32,Male,Self-employed,College Graduate,Carpentry,Manufacturing,Construction,Carpentry NC II
12,Binubuhan,22,Male,Self-employed,College Graduate,Driving,Transportation,Transportation,Driving NC II
12,Napoles,36,Male,Self-employed,College Undergraduate,Cooking,Hospitality,Agriculture,Cookery NC II
6,Binubuhan,23,Male,Self-employed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
7,Alianza,38,Female,Wage Employed,Senior High,Masonry,Construction,Construction,Masonry NC II
12,Binubuhan,21,Female,Underemployed,Junior High,Driving,Agriculture,Construction,Driving NC II
12,Bagroy,42,Male,Underemployed,College Graduate,Welding,Manufacturing,Business,Shielded Metal Arc Welding NC I
12,Atipuluan,22,Male,Unemployed,Elementary Graduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
4,Dulao,23,Male,Underemployed,College Graduate,Carpentry,None,Construction,Carpentry NC II
3,Poblacion,21,Male,Wage Employed,College Undergraduate,Carpentry,Agriculture,Construction,Carpentry NC II
2,Bacong,32,Male,Underemployed,Senior High,Cooking,Business,Construction,Cookery NC II
3,Caridad,25,Male,Underemployed,Junior High,Masonry,Agriculture,Construction,Masonry NC II
3,Dulao,38,Male,Wage Employed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
4,Taloc,37,Male,Wage Employed,Senior High,Masonry,Construction,Construction,Masonry NC II
9,Bagroy,42,Male,Wage Employed,College Graduate,Driving,Transportation,Transportation,Driving NC II
5,Busay,31,Male,Unemployed,Elementary Graduate,Carpentry,Construction,Agriculture,Carpentry NC II
12,Ilijan,41,Male,Unemployed,College Undergraduate,Driving,Business,Business,Driving NC II
7,Pacol,38,Male,Underemployed,Senior High,Driving,Government,Transportation,Driving NC II
8,Taloc,35,Male,Unemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
6,Mailum,34,Male,Self-employed,College Undergraduate,Computer Literacy,Hospitality,Business,Computer Systems Servicing NC II
8,Ma-ao,34,Male,Self-employed,Senior High,Welding,Hospitality,ICT,Shielded Metal Arc Welding NC I
12,Busay,31,Male,Wage Employed,College Undergraduate,Carpentry,Construction,Construction,Carpentry NC II
7,Caridad,34,Male,Self-employed,Junior High,Cooking,ICT,Hospitality,Cookery NC II
6,Bacong,22,Male,Underemployed,Senior High,Carpentry,Retail,Construction,Carpentry NC II
6,Bacong,33,Female,Self-employed,College Graduate,Computer Literacy,Business,ICT,Computer Systems Servicing NC II
8,Poblacion,31,Male,Underemployed,Junior High,Masonry,Manufacturing,Construction,Masonry NC II
9,Bacong,39,Male,Unemployed,Senior High,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
6,Dulao,37,Male,Underemployed,College Graduate,Masonry,Manufacturing,Transportation,Masonry NC II
4,Bacong,37,Male,Self-employed,Elementary Graduate,Electrical Repair,Manufacturing,Construction,Electrical Installation and Maintenance NC II
7,Bacong,34,Female,Underemployed,Elementary Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
7,Busay,47,Female,Underemployed,College Graduate,Cooking,Government,Business,Cookery NC II
12,Atipuluan,33,Male,Unemployed,Elementary Graduate,Electrical Repair,Agriculture,Construction,Electrical Installation and Maintenance NC II
10,Ma-ao,42,Male,Self-employed,College Graduate,Masonry,None,Construction,Masonry NC II
4,Ma-ao,24,Male,Underemployed,College Undergraduate,Masonry,Manufacturing,Construction,Masonry NC II
5,Caridad,40,Female,Self-employed,College Undergraduate,Electrical Repair,None,ICT,Electrical Installation and Maintenance NC II
7,Bacong,32,Male,Unemployed,Senior High,Computer Literacy,Business,Hospitality,Computer Systems Servicing NC II
10,Atipuluan,41,Male,Unemployed,Junior High,Baking,Business,Transportation,Bread and Pastry NC II
12,Bacong,20,Male,Self-employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
5,Taloc,42,Female,Self-employed,Senior High,Carpentry,Agriculture,Construction,Carpentry NC II
1,Lag-asan,25,Male,Unemployed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
4,Abuanan,42,Female,Wage Employed,Junior High,Cooking,None,Hospitality,Cookery NC II
9,Busay,31,Male,Unemployed,Junior High,Electrical Repair,Hospitality,Construction,Electrical Installation and Maintenance NC II
2,Ma-ao,50,Male,Wage Employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
3,Napoles,30,Male,Self-employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
1,Ilijan,22,Male,Unemployed,Senior High,Cooking,Agriculture,Hospitality,Cookery NC II
8,Alianza,20,Female,Underemployed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
2,Busay,26,Male,Self-employed,College Undergraduate,Driving,Agriculture,Transportation,Driving NC II
9,Busay,45,Male,Wage Employed,Senior High,Driving,Retail,Construction,Driving NC II
4,Pacol,42,Male,Wage Employed,Junior High,Driving,Transportation,Transportation,Driving NC II
9,Bacong,30,Male,Self-employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
2,Taloc,31,Male,Wage Employed,Senior High,Driving,None,Transportation,Driving NC II
12,Malingin,46,Male,Underemployed,College Undergraduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
8,Pacol,25,Male,Unemployed,Senior High,Driving,Agriculture,Transportation,Driving NC II
7,Taloc,28,Male,Underemployed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
4,Abuanan,32,Female,Unemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
2,Poblacion,20,Female,Underemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Calumangan,23,Male,Self-employed,College Graduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
9,Bagroy,20,Male,Underemployed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
4,Busay,55,Male,Wage Employed,College Graduate,Welding,Construction,ICT,Shielded Metal Arc Welding NC I
1,Taloc,24,Female,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
1,Tabunan,28,Female,Unemployed,Elementary Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
10,Busay,23,Male,Underemployed,Junior High,Computer Literacy,Business,Business,Computer Systems Servicing NC II
3,Malingin,28,Male,Self-employed,Elementary Graduate,Carpentry,Construction,Construction,Carpentry NC II
8,Mailum,31,Female,Wage Employed,College Graduate,Computer Literacy,ICT,ICT,Computer Systems Servicing NC II
10,Taloc,25,Male,Unemployed,Junior High,Carpentry,Retail,Agriculture,Carpentry NC II
6,Binubuhan,53,Female,Self-employed,College Graduate,Cooking,Agriculture,Agriculture,Cookery NC II
7,Abuanan,18,Male,Unemployed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
2,Bagroy,36,Male,Self-employed,Senior High,Driving,Agriculture,Agriculture,Driving NC II
12,Tabunan,20,Female,Unemployed,Elementary Graduate,Cooking,ICT,Hospitality,Cookery NC II
5,Mailum,41,Male,Self-employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
3,Binubuhan,37,Male,Underemployed,Junior High,Masonry,Construction,Construction,Masonry NC II
8,Calumangan,30,Male,Underemployed,Junior High,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
1,Balingasag,35,Female,Wage Employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
11,Poblacion,40,Male,Unemployed,Junior High,Electrical Repair,Manufacturing,ICT,Electrical Installation and Maintenance NC II
11,Taloc,20,Female,Underemployed,Senior High,Driving,None,Business,Driving NC II
10,Poblacion,34,Female,Wage Employed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
5,Sagasa,30,Male,Wage Employed,College Graduate,Cooking,Retail,Hospitality,Cookery NC II
6,Busay,27,Male,Unemployed,Junior High,Masonry,Agriculture,Construction,Masonry NC II
7,Busay,41,Female,Underemployed,Senior High,Cooking,Hospitality,Hospitality,Cookery NC II
9,Bacong,23,Male,Unemployed,Junior High,Carpentry,Retail,Construction,Carpentry NC II
2,Caridad,26,Female,Underemployed,Junior High,Baking,Manufacturing,Hospitality,Bread and Pastry NC II
7,Busay,38,Female,Underemployed,College Graduate,Computer Literacy,Business,Business,Computer Systems Servicing NC II
1,Bagroy,45,Female,Unemployed,Senior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
7,Poblacion,25,Male,Underemployed,College Undergraduate,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
5,Mailum,33,Male,Underemployed,Junior High,Driving,Retail,Transportation,Driving NC II
1,Bacong,38,Male,Unemployed,College Undergraduate,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
8,Mailum,42,Male,Self-employed,College Undergraduate,Baking,Business,Hospitality,Bread and Pastry NC II
11,Tabunan,27,Female,Unemployed,College Undergraduate,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Sagasa,32,Female,Underemployed,Junior High,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
10,Caridad,31,Male,Underemployed,College Graduate,Computer Literacy,Retail,ICT,Computer Systems Servicing NC II
10,Poblacion,19,Male,Unemployed,Junior High,Computer Literacy,Government,ICT,Computer Systems Servicing NC II
6,Abuanan,18,Male,Unemployed,Senior High,Computer Literacy,ICT,Agriculture,Computer Systems Servicing NC II
5,Poblacion,34,Female,Unemployed,Elementary Graduate,Computer Literacy,ICT,Transportation,Computer Systems Servicing NC II
1,Poblacion,41,Male,Unemployed,Senior High,Driving,Government,Transportation,Driving NC II
1,Ma-ao,36,Male,Unemployed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
5,Mailum,40,Female,Unemployed,Junior High,Cooking,Business,Hospitality,Cookery NC II
6,Taloc,36,Male,Unemployed,Senior High,Baking,Retail,Hospitality,Bread and Pastry NC II
2,Bagroy,21,Male,Wage Employed,Senior High,Cooking,Business,Hospitality,Cookery NC II
7,Mailum,33,Male,Wage Employed,College Graduate,Welding,ICT,Construction,Shielded Metal Arc Welding NC I
3,Dulao,35,Female,Unemployed,Senior High,Electrical Repair,Business,Business,Electrical Installation and Maintenance NC II
10,Bacong,22,Male,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
8,Tabunan,22,Male,Underemployed,Elementary Graduate,Driving,Transportation,Transportation,Driving NC II
10,Malingin,39,Male,Wage Employed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
8,Ilijan,20,Female,Unemployed,College Undergraduate,Cooking,Hospitality,Hospitality,Cookery NC II
10,Mailum,30,Male,Self-employed,Senior High,Welding,Manufacturing,Construction,Shielded Metal Arc Welding NC I
9,Mailum,18,Female,Unemployed,Senior High,Driving,Transportation,Transportation,Driving NC II
2,Napoles,38,Female,Wage Employed,College Undergraduate,Baking,Retail,Hospitality,Bread and Pastry NC II
2,Napoles,20,Female,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
8,Ma-ao,19,Female,Self-employed,Senior High,Carpentry,Construction,Construction,Carpentry NC II
3,Malingin,34,Female,Underemployed,Junior High,Driving,Transportation,Transportation,Driving NC II
5,Calumangan,43,Female,Unemployed,College Undergraduate,Baking,Business,Business,Bread and Pastry NC II
12,Balingasag,48,Male,Wage Employed,College Undergraduate,Driving,Transportation,Transportation,Driving NC II
12,Taloc,19,Male,Unemployed,Junior High,Welding,Construction,Construction,Shielded Metal Arc Welding NC I
5,Bagroy,39,Female,Unemployed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
9,Napoles,39,Male,Self-employed,Senior High,Cooking,Business,Hospitality,Cookery NC II
5,Abuanan,39,Female,Self-employed,Junior High,Cooking,Agriculture,Hospitality,Cookery NC II
8,Bagroy,37,Male,Underemployed,Elementary Graduate,Electrical Repair,Construction,Construction,Electrical Installation and Maintenance NC II
1,Taloc,34,Male,Unemployed,Junior High,Carpentry,Construction,Construction,Carpentry NC II
9,Lag-asan,38,Female,Unemployed,Junior High,Cooking,Hospitality,Hospitality,Cookery NC II
11,Poblacion,38,Female,Unemployed,College Undergraduate,Cooking,Hospitality,Business,Cookery NC II
9,Abuanan,32,Female,Wage Employed,College Graduate,Cooking,Hospitality,Hospitality,Cookery NC II
11,Lag-asan,23,Female,Wage Employed,Senior High,Masonry,Manufacturing,Construction,Masonry NC II
11,Atipuluan,42,Female,Wage Employed,Junior High,Baking,Hospitality,Hospitality,Bread and Pastry NC II
