barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Taloc,Computer Systems Servicing NC II,42,Female,College Graduate,Unemployed,Computer Literacy,ICT,New Entrant,Graduate
Alianza,Electrical Installation and Maintenance NC II,42,Male,Junior High,Underemployed,Electrical Repair,Business,New Entrant,Dropout
Binubuhan,Bread and Pastry NC II,29,Female,Junior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Abuanan,Carpentry NC II,19,Male,Junior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Ilijan,Carpentry NC II,31,Male,Elementary Graduate,Underemployed,Carpentry,Construction,New Entrant,Dropout
Dulao,Masonry NC II,41,Male,College Undergraduate,Underemployed,Carpentry,Construction,Career Shifter,Dropout
Ma-ao,Shielded Metal Arc Welding NC I,21,Male,Junior High,Wage Employed,Welding,Agriculture,Experienced Worker,Dropout
Dulao,Shielded Metal Arc Welding NC I,26,Male,College Undergraduate,Unemployed,Welding,Construction,New Entrant,Graduate
Bacong,Shielded Metal Arc Welding NC I,26,Male,Senior High,Self-employed,Welding,Agriculture,Experienced Worker,Graduate
Napoles,Driving NC II,35,Male,Junior High,Unemployed,Driving,Transportation,New Entrant,Dropout
Tabunan,Driving NC II,28,Male,Elementary Graduate,Unemployed,Driving,Transportation,Returning Learner,Dropout
Taloc,Shielded Metal Arc Welding NC I,34,Female,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Bagroy,Cookery NC II,22,Female,Junior High,Underemployed,Cooking,Construction,Career Shifter,Graduate
Bacong,Shielded Metal Arc Welding NC I,29,Male,College Undergraduate,Underemployed,Carpentry,Construction,Returning Learner,Graduate
Dulao,Masonry NC II,20,Male,Senior High,Underemployed,Masonry,Construction,New Entrant,Dropout
Tabunan,Carpentry NC II,27,Male,Senior High,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Taloc,Shielded Metal Arc Welding NC I,39,Male,Junior High,Unemployed,Welding,Construction,Experienced Worker,Graduate
Calumangan,Computer Systems Servicing NC II,24,Male,College Undergraduate,Wage Employed,Computer Literacy,Agriculture,Experienced Worker,Graduate
Napoles,Shielded Metal Arc Welding NC I,31,Female,College Undergraduate,Self-employed,Welding,Construction,Experienced Worker,Graduate
Balingasag,Computer Systems Servicing NC II,46,Male,College Undergraduate,Self-employed,Computer Literacy,Business,New Entrant,Graduate
Ma-ao,Driving NC II,24,Male,Elementary Graduate,Unemployed,Driving,Transportation,Returning Learner,Dropout
Alianza,Electrical Installation and Maintenance NC II,32,Male,Elementary Graduate,Unemployed,Electrical Repair,Construction,New Entrant,Graduate
Busay,Computer Systems Servicing NC II,29,Female,Senior High,Wage Employed,Computer Literacy,ICT,New Entrant,Graduate
Ma-ao,Carpentry NC II,20,Male,Junior High,Unemployed,Carpentry,Construction,Experienced Worker,Dropout
Pacol,Driving NC II,18,Male,Junior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Pacol,Computer Systems Servicing NC II,52,Male,College Graduate,Self-employed,Computer Literacy,ICT,Returning Learner,Dropout
Balingasag,Masonry NC II,38,Male,Junior High,Underemployed,Masonry,Construction,New Entrant,Dropout
Lag-asan,Computer Systems Servicing NC II,40,Female,Junior High,Wage Employed,Carpentry,Construction,Career Shifter,Dropout
Abuanan,Electrical Installation and Maintenance NC II,45,Male,College Graduate,Wage Employed,Carpentry,Construction,Career Shifter,Graduate
Balingasag,Driving NC II,27,Male,College Undergraduate,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Calumangan,Shielded Metal Arc Welding NC I,25,Female,Senior High,Self-employed,Welding,Construction,Returning Learner,Graduate
Ma-ao,Masonry NC II,43,Female,Senior High,Self-employed,Masonry,Construction,Experienced Worker,Dropout
Abuanan,Bread and Pastry NC II,19,Female,College Undergraduate,Self-employed,Baking,Hospitality,Returning Learner,Graduate
Poblacion,Computer Systems Servicing NC II,33,Female,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Dulao,Masonry NC II,52,Female,College Graduate,Wage Employed,Driving,Transportation,Career Shifter,Graduate
Caridad,Carpentry NC II,37,Male,Senior High,Underemployed,Carpentry,Construction,Returning Learner,Graduate
Mailum,Masonry NC II,45,Male,Senior High,Self-employed,Masonry,Construction,New Entrant,Dropout
Bagroy,Carpentry NC II,21,Male,Elementary Graduate,Unemployed,Carpentry,Construction,New Entrant,Graduate
Sagasa,Shielded Metal Arc Welding NC I,41,Male,Senior High,Underemployed,Welding,Hospitality,New Entrant,Graduate
Ilijan,Masonry NC II,31,Female,Elementary Graduate,Wage Employed,Masonry,Construction,Returning Learner,Dropout
Bacong,Computer Systems Servicing NC II,28,Female,College Graduate,Wage Employed,Computer Literacy,ICT,New Entrant,Graduate
Malingin,Masonry NC II,23,Male,College Graduate,Underemployed,Masonry,Construction,Returning Learner,Graduate
Poblacion,Computer Systems Servicing NC II,23,Female,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Ilijan,Cookery NC II,27,Male,Junior High,Unemployed,Cooking,Hospitality,Career Shifter,Dropout
Abuanan,Cookery NC II,40,Female,College Undergraduate,Self-employed,Cooking,Hospitality,Returning Learner,Graduate
Atipuluan,Masonry NC II,34,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Graduate
Bacong,Cookery NC II,28,Female,Senior High,Underemployed,Cooking,Hospitality,Returning Learner,Graduate
Abuanan,Masonry NC II,30,Female,Elementary Graduate,Unemployed,Masonry,Construction,New Entrant,Graduate
Binubuhan,Electrical Installation and Maintenance NC II,21,Male,Elementary Graduate,Unemployed,Electrical Repair,Construction,Experienced Worker,Graduate
Sagasa,Carpentry NC II,31,Male,Junior High,Unemployed,Carpentry,Construction,Returning Learner,Graduate
Lag-asan,Computer Systems Servicing NC II,54,Male,College Graduate,Wage Employed,Computer Literacy,ICT,New Entrant,Graduate
Pacol,Electrical Installation and Maintenance NC II,37,Male,Senior High,Underemployed,Electrical Repair,Construction,Experienced Worker,Graduate
Sagasa,Shielded Metal Arc Welding NC I,36,Male,Junior High,Underemployed,Welding,Construction,Experienced Worker,Graduate
Ilijan,Computer Systems Servicing NC II,36,Male,Senior High,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Calumangan,Cookery NC II,20,Male,Junior High,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Napoles,Electrical Installation and Maintenance NC II,28,Male,Elementary Graduate,Underemployed,Electrical Repair,Construction,New Entrant,Dropout
Calumangan,Electrical Installation and Maintenance NC II,19,Male,Senior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Dulao,Bread and Pastry NC II,37,Female,Junior High,Unemployed,Baking,Hospitality,Returning Learner,Graduate
Balingasag,Masonry NC II,38,Female,College Undergraduate,Unemployed,Masonry,Construction,New Entrant,Graduate
Abuanan,Computer Systems Servicing NC II,27,Female,College Graduate,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Balingasag,Bread and Pastry NC II,27,Male,College Graduate,Unemployed,Baking,Hospitality,Returning Learner,Graduate
Balingasag,Bread and Pastry NC II,22,Female,Junior High,Unemployed,Baking,Hospitality,New Entrant,Dropout
Dulao,Masonry NC II,37,Male,Elementary Graduate,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Ma-ao,Electrical Installation and Maintenance NC II,39,Male,Junior High,Underemployed,Electrical Repair,Construction,Experienced Worker,Dropout
Pacol,Electrical Installation and Maintenance NC II,34,Male,College Graduate,Underemployed,Electrical Repair,Construction,Career Shifter,Dropout
Calumangan,Computer Systems Servicing NC II,37,Male,Elementary Graduate,Underemployed,Computer Literacy,ICT,Career Shifter,Graduate
Calumangan,Computer Systems Servicing NC II,27,Male,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Abuanan,Carpentry NC II,18,Male,Junior High,Unemployed,Carpentry,Construction,New Entrant,Graduate
Taloc,Cookery NC II,28,Male,Senior High,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Ma-ao,Shielded Metal Arc Welding NC I,20,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Sagasa,Masonry NC II,25,Male,Senior High,Underemployed,Masonry,Construction,Experienced Worker,Graduate
Abuanan,Driving NC II,27,Male,Junior High,Underemployed,Driving,Transportation,Returning Learner,Graduate
Taloc,Shielded Metal Arc Welding NC I,34,Male,Junior High,Self-employed,Welding,Transportation,Experienced Worker,Graduate
Alianza,Driving NC II,38,Male,Senior High,Self-employed,Driving,Hospitality,Returning Learner,Graduate
Abuanan,Computer Systems Servicing NC II,40,Female,Senior High,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Poblacion,Electrical Installation and Maintenance NC II,19,Male,Senior High,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Ma-ao,Carpentry NC II,38,Male,Elementary Graduate,Unemployed,Carpentry,Construction,New Entrant,Graduate
Tabunan,Shielded Metal Arc Welding NC I,53,Male,College Graduate,Self-employed,Welding,Construction,Returning Learner,Graduate
Abuanan,Carpentry NC II,21,Male,Senior High,Underemployed,Carpentry,Construction,Returning Learner,Graduate
Bacong,Carpentry NC II,29,Male,Senior High,Wage Employed,Carpentry,Construction,Experienced Worker,Graduate
Ma-ao,Cookery NC II,23,Male,Junior High,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Malingin,Shielded Metal Arc Welding NC I,22,Male,Elementary Graduate,Unemployed,Cooking,Hospitality,Experienced Worker,Graduate
Malingin,Masonry NC II,21,Male,Elementary Graduate,Unemployed,Masonry,Construction,New Entrant,Dropout
Busay,Cookery NC II,40,Male,Senior High,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Bagroy,Carpentry NC II,45,Female,Senior High,Self-employed,Carpentry,Construction,Returning Learner,Dropout
Dulao,Computer Systems Servicing NC II,23,Female,Senior High,Self-employed,Computer Literacy,ICT,Experienced Worker,Graduate
Atipuluan,Bread and Pastry NC II,35,Female,Junior High,Underemployed,Baking,Transportation,Career Shifter,Graduate
Taloc,Shielded Metal Arc Welding NC I,22,Female,Junior High,Underemployed,Welding,Construction,Returning Learner,Graduate
Caridad,Computer Systems Servicing NC II,30,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Ma-ao,Masonry NC II,35,Female,College Undergraduate,Self-employed,Masonry,Construction,New Entrant,Graduate
Alianza,Masonry NC II,23,Male,Junior High,Underemployed,Masonry,Construction,Returning Learner,Graduate
Bacong,Driving NC II,20,Male,Senior High,Wage Employed,Driving,Transportation,Returning Learner,Graduate
Alianza,Electrical Installation and Maintenance NC II,27,Male,Junior High,Underemployed,Electrical Repair,Construction,New Entrant,Graduate
Ma-ao,Carpentry NC II,32,Male,Senior High,Unemployed,Carpentry,Construction,Returning Learner,Graduate
Caridad,Shielded Metal Arc Welding NC I,35,Male,Senior High,Unemployed,Welding,Construction,New Entrant,Graduate
Calumangan,Driving NC II,23,Male,Junior High,Wage Employed,Baking,Hospitality,Experienced Worker,Graduate
Atipuluan,Bread and Pastry NC II,20,Male,Elementary Graduate,Underemployed,Baking,Hospitality,New Entrant,Dropout
Atipuluan,Electrical Installation and Maintenance NC II,27,Male,Senior High,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Tabunan,Shielded Metal Arc Welding NC I,24,Male,Junior High,Underemployed,Welding,Construction,New Entrant,Dropout
Calumangan,Masonry NC II,21,Male,Junior High,Unemployed,Masonry,Construction,Career Shifter,Graduate
Sagasa,Electrical Installation and Maintenance NC II,22,Male,Junior High,Unemployed,Electrical Repair,Construction,Career Shifter,Dropout
Abuanan,Driving NC II,37,Male,Senior High,Unemployed,Driving,Transportation,New Entrant,Graduate
Ma-ao,Masonry NC II,39,Male,Elementary Graduate,Unemployed,Masonry,Construction,New Entrant,Graduate
Busay,Electrical Installation and Maintenance NC II,42,Male,Senior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Calumangan,Masonry NC II,25,Male,Junior High,Self-employed,Masonry,Construction,Career Shifter,Graduate
Poblacion,Computer Systems Servicing NC II,52,Male,College Graduate,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Napoles,Driving NC II,43,Male,College Graduate,Self-employed,Driving,Transportation,Returning Learner,Graduate
Caridad,Electrical Installation and Maintenance NC II,41,Male,College Graduate,Wage Employed,Electrical Repair,Construction,Career Shifter,Graduate
Lag-asan,Bread and Pastry NC II,43,Male,Senior High,Wage Employed,Baking,Hospitality,Experienced Worker,Graduate
Dulao,Driving NC II,20,Male,College Undergraduate,Self-employed,Driving,Transportation,Returning Learner,Graduate
Calumangan,Computer Systems Servicing NC II,39,Male,College Graduate,Unemployed,Computer Literacy,ICT,New Entrant,Dropout
Atipuluan,Cookery NC II,28,Male,Senior High,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Poblacion,Masonry NC II,52,Male,College Graduate,Underemployed,Masonry,Construction,Experienced Worker,Graduate
Lag-asan,Cookery NC II,45,Male,Senior High,Self-employed,Cooking,Hospitality,New Entrant,Graduate
Tabunan,Bread and Pastry NC II,41,Male,Junior High,Underemployed,Baking,Hospitality,Experienced Worker,Dropout
Poblacion,Shielded Metal Arc Welding NC I,53,Female,College Graduate,Self-employed,Masonry,Construction,Career Shifter,Graduate
Lag-asan,Electrical Installation and Maintenance NC II,18,Male,Elementary Graduate,Underemployed,Electrical Repair,Construction,Career Shifter,Dropout
Malingin,Bread and Pastry NC II,21,Female,College Undergraduate,Underemployed,Baking,Hospitality,New Entrant,Dropout
Calumangan,Driving NC II,28,Male,College Undergraduate,Unemployed,Driving,Transportation,Returning Learner,Graduate
Balingasag,Bread and Pastry NC II,40,Male,Senior High,Self-employed,Baking,Hospitality,Returning Learner,Graduate
Sagasa,Computer Systems Servicing NC II,45,Female,College Graduate,Self-employed,Computer Literacy,ICT,Returning Learner,Dropout
Malingin,Electrical Installation and Maintenance NC II,20,Male,Elementary Graduate,Underemployed,Electrical Repair,Construction,Returning Learner,Graduate
Binubuhan,Cookery NC II,23,Female,Senior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Atipuluan,Electrical Installation and Maintenance NC II,32,Male,Junior High,Underemployed,Masonry,Construction,New Entrant,Dropout
Lag-asan,Cookery NC II,29,Male,Junior High,Unemployed,Cooking,Construction,Returning Learner,Graduate
Busay,Driving NC II,38,Female,Senior High,Underemployed,Driving,Transportation,Returning Learner,Graduate
Mailum,Carpentry NC II,39,Female,Junior High,Underemployed,Carpentry,Construction,New Entrant,Dropout
Abuanan,Driving NC II,23,Female,College Graduate,Underemployed,Driving,Transportation,Returning Learner,Graduate
Taloc,Carpentry NC II,41,Male,Senior High,Underemployed,Carpentry,Construction,New Entrant,Graduate
Bacong,Driving NC II,32,Male,Senior High,Unemployed,Driving,Transportation,Experienced Worker,Graduate
Pacol,Carpentry NC II,35,Female,College Undergraduate,Self-employed,Carpentry,Construction,Experienced Worker,Graduate
Napoles,Masonry NC II,39,Male,Senior High,Wage Employed,Masonry,Construction,Experienced Worker,Graduate
Napoles,Masonry NC II,19,Female,Elementary Graduate,Underemployed,Masonry,Construction,Experienced Worker,Graduate
Malingin,Computer Systems Servicing NC II,52,Male,College Graduate,Underemployed,Computer Literacy,ICT,Experienced Worker,Graduate
Caridad,Electrical Installation and Maintenance NC II,30,Male,College Graduate,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Poblacion,Carpentry NC II,31,Male,College Undergraduate,Self-employed,Carpentry,Construction,Returning Learner,Graduate
Atipuluan,Electrical Installation and Maintenance NC II,28,Male,Junior High,Self-employed,Electrical Repair,Construction,New Entrant,Graduate
Atipuluan,Shielded Metal Arc Welding NC I,35,Male,College Graduate,Underemployed,Welding,Construction,New Entrant,Graduate
Lag-asan,Carpentry NC II,32,Male,Senior High,Wage Employed,Carpentry,Construction,Career Shifter,Graduate
Bagroy,Driving NC II,22,Male,Junior High,Unemployed,Driving,Transportation,Returning Learner,Graduate
Pacol,Computer Systems Servicing NC II,43,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Returning Learner,Graduate
Pacol,Shielded Metal Arc Welding NC I,35,Male,Junior High,Unemployed,Welding,Construction,Experienced Worker,Graduate
Alianza,Bread and Pastry NC II,31,Female,Junior High,Self-employed,Cooking,Hospitality,New Entrant,Graduate
Abuanan,Bread and Pastry NC II,52,Male,College Graduate,Self-employed,Baking,Business,Experienced Worker,Graduate
Taloc,Cookery NC II,40,Male,Senior High,Unemployed,Cooking,Hospitality,Experienced Worker,Graduate
Abuanan,Cookery NC II,26,Male,Junior High,Self-employed,Cooking,Hospitality,Experienced Worker,Dropout
Calumangan,Bread and Pastry NC II,46,Male,College Undergraduate,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Taloc,Carpentry NC II,38,Male,Senior High,Wage Employed,Carpentry,Construction,Returning Learner,Graduate
Abuanan,Carpentry NC II,26,Male,Elementary Graduate,Underemployed,Masonry,Construction,Career Shifter,Dropout
Busay,Shielded Metal Arc Welding NC I,40,Male,Junior High,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Napoles,Masonry NC II,41,Male,Junior High,Unemployed,Masonry,Construction,Experienced Worker,Dropout
Dulao,Driving NC II,37,Female,Senior High,Self-employed,Driving,Transportation,Experienced Worker,Graduate
Poblacion,Computer Systems Servicing NC II,32,Male,College Undergraduate,Unemployed,Computer Literacy,ICT,Returning Learner,Graduate
Abuanan,Masonry NC II,40,Male,Senior High,Underemployed,Masonry,Construction,New Entrant,Graduate
Balingasag,Cookery NC II,21,Female,College Undergraduate,Self-employed,Cooking,Hospitality,Experienced Worker,Graduate
Taloc,Cookery NC II,19,Female,College Undergraduate,Unemployed,Cooking,Transportation,New Entrant,Graduate
Busay,Driving NC II,22,Male,Senior High,Unemployed,Driving,Transportation,New Entrant,Graduate
Abuanan,Computer Systems Servicing NC II,42,Female,College Undergraduate,Unemployed,Computer Literacy,ICT,Returning Learner,Graduate
Abuanan,Computer Systems Servicing NC II,43,Female,College Graduate,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Bagroy,Driving NC II,28,Male,Elementary Graduate,Unemployed,Driving,Transportation,New Entrant,Graduate
Pacol,Shielded Metal Arc Welding NC I,43,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Dropout
Bacong,Masonry NC II,35,Male,College Graduate,Self-employed,Masonry,Construction,Experienced Worker,Graduate
Ma-ao,Electrical Installation and Maintenance NC II,39,Male,Junior High,Unemployed,Electrical Repair,Construction,New Entrant,Dropout
Calumangan,Masonry NC II,32,Male,College Undergraduate,Unemployed,Masonry,Construction,Experienced Worker,Graduate
Busay,Masonry NC II,38,Male,Elementary Graduate,Unemployed,Masonry,Construction,Returning Learner,Dropout
Alianza,Driving NC II,25,Male,Senior High,Underemployed,Driving,Transportation,Returning Learner,Graduate
Napoles,Carpentry NC II,29,Female,Junior High,Underemployed,Carpentry,Construction,New Entrant,Graduate
Binubuhan,Cookery NC II,43,Female,Senior High,Unemployed,Cooking,Hospitality,Returning Learner,Graduate
Taloc,Shielded Metal Arc Welding NC I,28,Male,Elementary Graduate,Unemployed,Welding,Construction,Returning Learner,Graduate
Mailum,Bread and Pastry NC II,25,Male,Junior High,Wage Employed,Baking,Hospitality,Returning Learner,Graduate
Alianza,Carpentry NC II,18,Male,Junior High,Underemployed,Carpentry,Construction,New Entrant,Dropout
Ma-ao,Computer Systems Servicing NC II,39,Male,Senior High,Underemployed,Cooking,Hospitality,New Entrant,Dropout
