barangay,course_applied,age,sex,educational_attainment,employment_status,current_skill,desired_career,learner_classification,training_outcome
Calumangan,HEO (Hydraulic Excavator) NC II,29,Male,College Undergraduate,Self-employed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Malingin,Bread and Pastry NC II,19,Female,College Undergraduate,Wage Employed,Baking,Hospitality,Returning Learner,Graduate
Ma-ao,Electrical Installation and Maintenance NC II,22,Male,College Undergraduate,Underemployed,Electrical Repair,Construction,Returning Learner,Graduate
Malingin,Landscape Installation and Maintenance (Softscape),18,Male,Elementary Graduate,Underemployed,Landscaping,Agriculture,Career Shifter,Dropout
Taloc,Computer Systems Servicing NC II,40,Male,College Graduate,Unemployed,Computer Literacy,ICT,Returning Learner,Graduate
Malingin,Bread and Pastry NC II,27,Female,Senior High,Self-employed,Baking,Manufacturing,Experienced Worker,Dropout
Busay,Organic Agriculture Production NC II,26,Female,Junior High,Underemployed,Organic Farming,Agriculture,New Entrant,Dropout
Malingin,Cookery NC II,30,Male,Junior High,Unemployed,Cooking,Hospitality,New Entrant,Dropout
Alianza,Construction Painting NC II,31,Male,Senior High,Wage Employed,Painting,Construction,Experienced Worker,Graduate
Pacol,Carpentry NC II,20,Male,Elementary Graduate,Underemployed,Carpentry,Construction,Career Shifter,Graduate
Balingasag,Carpentry NC II,29,Male,College Undergraduate,Self-employed,Carpentry,Construction,Experienced Worker,Dropout
Pacol,Electrical Installation and Maintenance NC II,31,Male,Senior High,Underemployed,Electrical Repair,Construction,Returning Learner,Dropout
Taloc,Computer Systems Servicing NC II,40,Female,College Graduate,Self-employed,Computer Literacy,ICT,New Entrant,Graduate
Ma-ao,Driving NC II,36,Male,Senior High,Unemployed,Carpentry,Construction,New Entrant,Dropout
Busay,HEO (Bulldozer) NC II,20,Male,Junior High,Wage Employed,Electrical Repair,Construction,New Entrant,Graduate
Busay,Electronic Products Assembly and Servicing NC II,24,Male,Elementary Graduate,Unemployed,Electronics,Manufacturing,New Entrant,Dropout
Caridad,Electronic Products Assembly and Servicing NC II,23,Male,Junior High,Wage Employed,Electronics,Manufacturing,Returning Learner,Graduate
Atipuluan,HEO (Bulldozer) NC II,43,Male,College Undergraduate,Self-employed,Heavy Equipment Operation,Construction,Experienced Worker,Dropout
Mailum,Landscape Installation and Maintenance (Softscape),35,Male,Elementary Graduate,Unemployed,Landscaping,Agriculture,New Entrant,Dropout
Bacong,HEO (Hydraulic Excavator) NC II,41,Male,Junior High,Wage Employed,Landscaping,Agriculture,Career Shifter,Graduate
Ilijan,Organic Agriculture Production NC II,33,Female,Junior High,Underemployed,Organic Farming,Agriculture,Returning Learner,Dropout
Dulao,Construction Painting NC II,31,Male,Senior High,Wage Employed,Painting,Construction,Experienced Worker,Dropout
Calumangan,Computer Systems Servicing NC II,51,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Dropout
Abuanan,Cookery NC II,31,Male,Senior High,Underemployed,Cooking,Hospitality,Returning Learner,Dropout
Pacol,Cookery NC II,42,Male,Senior High,Self-employed,Cooking,Hospitality,New Entrant,Graduate
Balingasag,Electronic Products Assembly and Servicing NC II,31,Female,College Undergraduate,Underemployed,Electronics,Manufacturing,Returning Learner,Graduate
Abuanan,Bread and Pastry NC II,29,Male,College Undergraduate,Unemployed,Baking,Hospitality,Experienced Worker,Dropout
Dulao,Organic Agriculture Production NC II,19,Male,Elementary Graduate,Underemployed,Organic Farming,Agriculture,New Entrant,Dropout
Balingasag,Shielded Metal Arc Welding NC II,29,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Malingin,Driving NC II,42,Male,Junior High,Unemployed,Driving,Agriculture,New Entrant,Graduate
Bacong,Electronic Products Assembly and Servicing NC II,30,Female,Senior High,Unemployed,Electronics,Manufacturing,New Entrant,Graduate
Napoles,Bread and Pastry NC II,26,Female,Junior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Dulao,Shielded Metal Arc Welding NC II,19,Male,Junior High,Underemployed,Welding,Construction,Returning Learner,Dropout
Tabunan,Trainers Methodology Level I,37,Male,College Graduate,Wage Employed,Training Delivery,Education,Experienced Worker,Dropout
Tabunan,Driving NC II,21,Male,Elementary Graduate,Self-employed,Driving,Transportation,Returning Learner,Graduate
Ilijan,Trainers Methodology Level I,23,Male,College Undergraduate,Wage Employed,Training Delivery,Education,Experienced Worker,Graduate
Bacong,Cookery NC II,35,Male,Senior High,Unemployed,Cooking,Hospitality,New Entrant,Dropout
Atipuluan,Carpentry NC II,37,Male,Junior High,Underemployed,Carpentry,Hospitality,New Entrant,Dropout
Caridad,Bookkeeping NC II,28,Female,College Undergraduate,Self-employed,Bookkeeping,Business,Experienced Worker,Graduate
Ilijan,Electrical Installation and Maintenance NC II,24,Male,College Graduate,Underemployed,Electrical Repair,Construction,Experienced Worker,Dropout
Balingasag,HEO (Wheel Loader) NC II,37,Male,Junior High,Unemployed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Taloc,HEO (Bulldozer) NC II,48,Male,College Undergraduate,Wage Employed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Lag-asan,Electronic Products Assembly and Servicing NC II,28,Female,College Undergraduate,Self-employed,Electronics,Manufacturing,Experienced Worker,Dropout
Binubuhan,Trainers Methodology Level I,44,Female,Senior High,Underemployed,Training Delivery,Education,Returning Learner,Graduate
Napoles,Shielded Metal Arc Welding NC I,28,Male,Junior High,Unemployed,Computer Literacy,ICT,Returning Learner,Dropout
Dulao,Landscape Installation and Maintenance (Softscape),29,Male,College Undergraduate,Underemployed,Landscaping,Agriculture,Experienced Worker,Graduate
Malingin,Driving NC II,37,Male,Elementary Graduate,Underemployed,Driving,Transportation,Experienced Worker,Graduate
Malingin,Machining NC I,38,Female,Senior High,Unemployed,Machining,Construction,Experienced Worker,Graduate
Ma-ao,Construction Painting NC II,34,Male,Junior High,Underemployed,Painting,Construction,New Entrant,Graduate
Pacol,Shielded Metal Arc Welding NC I,48,Male,College Undergraduate,Underemployed,Heavy Equipment Operation,Construction,Career Shifter,Graduate
Binubuhan,Trainers Methodology Level I,46,Female,College Undergraduate,Self-employed,Training Delivery,Education,Experienced Worker,Graduate
Abuanan,Carpentry NC II,43,Male,College Graduate,Wage Employed,Heavy Equipment Operation,Construction,New Entrant,Graduate
Pacol,Masonry NC II,30,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Dropout
Abuanan,Bread and Pastry NC II,33,Male,Senior High,Underemployed,Baking,Hospitality,New Entrant,Dropout
Tabunan,Landscape Installation and Maintenance (Softscape),23,Male,Junior High,Unemployed,Landscaping,Manufacturing,New Entrant,Graduate
Bagroy,Shielded Metal Arc Welding NC I,30,Male,Senior High,Underemployed,Electrical Repair,Manufacturing,Career Shifter,Graduate
Lag-asan,Landscape Installation and Maintenance (Softscape),27,Female,College Undergraduate,Underemployed,Landscaping,Agriculture,Returning Learner,Graduate
Dulao,Electrical Installation and Maintenance NC II,39,Female,Elementary Graduate,Unemployed,Electrical Repair,Construction,New Entrant,Graduate
Bacong,Carpentry NC II,30,Male,Senior High,Unemployed,Carpentry,Construction,New Entrant,Graduate
Alianza,Trainers Methodology Level I,33,Male,Junior High,Wage Employed,Training Delivery,Transportation,Experienced Worker,Graduate
Tabunan,Cookery NC II,45,Female,Senior High,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Malingin,Electronic Products Assembly and Servicing NC II,44,Female,Senior High,Underemployed,Electronics,Manufacturing,Experienced Worker,Dropout
Bacong,Computer Systems Servicing NC II,26,Male,Senior High,Underemployed,Computer Literacy,ICT,New Entrant,Graduate
Ma-ao,Computer Systems Servicing NC II,41,Female,College Undergraduate,Unemployed,Computer Literacy,ICT,Returning Learner,Graduate
Lag-asan,Electronic Products Assembly and Servicing NC II,24,Male,Junior High,Underemployed,Electronics,Manufacturing,Experienced Worker,Graduate
Taloc,Electrical Installation and Maintenance NC II,25,Male,Junior High,Self-employed,Electrical Repair,Construction,Returning Learner,Graduate
Atipuluan,Landscape Installation and Maintenance (Softscape),40,Female,Elementary Graduate,Unemployed,Landscaping,Agriculture,New Entrant,Dropout
Dulao,Bread and Pastry NC II,31,Male,College Undergraduate,Self-employed,Baking,Hospitality,Experienced Worker,Graduate
Bacong,HEO (Wheel Loader) NC II,41,Male,Junior High,Unemployed,Heavy Equipment Operation,Construction,Career Shifter,Dropout
Pacol,Electrical Installation and Maintenance NC II,41,Male,Junior High,Self-employed,Electrical Repair,Construction,Experienced Worker,Graduate
Abuanan,Computer Systems Servicing NC II,28,Male,College Graduate,Self-employed,Computer Literacy,ICT,New Entrant,Dropout
Ma-ao,Shielded Metal Arc Welding NC II,36,Male,College Undergraduate,Underemployed,Welding,Construction,New Entrant,Dropout
Bagroy,Carpentry NC II,24,Male,Elementary Graduate,Underemployed,Carpentry,Construction,Experienced Worker,Graduate
Sagasa,Landscape Installation and Maintenance (Softscape),28,Male,Senior High,Self-employed,Landscaping,Education,Returning Learner,Dropout
Ma-ao,HEO (Bulldozer) NC II,39,Male,Elementary Graduate,Unemployed,Carpentry,Construction,Experienced Worker,Dropout
Sagasa,Bookkeeping NC II,43,Female,Senior High,Underemployed,Bookkeeping,Business,Experienced Worker,Graduate
Tabunan,Construction Painting NC II,37,Male,Senior High,Underemployed,Painting,Construction,New Entrant,Graduate
Mailum,Construction Painting NC II,30,Male,Junior High,Underemployed,Painting,Construction,Experienced Worker,Dropout
Busay,Machining NC II,24,Male,Senior High,Self-employed,Machining,Manufacturing,Experienced Worker,Graduate
Napoles,Shielded Metal Arc Welding NC I,32,Male,Junior High,Unemployed,Welding,Construction,New Entrant,Graduate
Alianza,Organic Agriculture Production NC II,41,Female,Senior High,Self-employed,Organic Farming,Agriculture,Returning Learner,Graduate
Bagroy,Landscape Installation and Maintenance (Softscape),29,Male,Junior High,Underemployed,Landscaping,Agriculture,New Entrant,Graduate
Busay,Computer Systems Servicing NC II,35,Male,College Graduate,Wage Employed,Computer Literacy,ICT,New Entrant,Dropout
Tabunan,Organic Agriculture Production NC II,36,Male,Senior High,Self-employed,Organic Farming,Agriculture,Experienced Worker,Dropout
Bagroy,Shielded Metal Arc Welding NC II,38,Male,Junior High,Unemployed,Painting,Construction,Career Shifter,Dropout
Sagasa,Computer Systems Servicing NC II,47,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Atipuluan,Cookery NC II,42,Male,College Graduate,Underemployed,Cooking,Hospitality,Career Shifter,Graduate
Bacong,Machining NC I,27,Male,Elementary Graduate,Underemployed,Machining,Manufacturing,Experienced Worker,Dropout
Bagroy,Shielded Metal Arc Welding NC II,18,Male,Junior High,Underemployed,Welding,Construction,New Entrant,Graduate
Poblacion,Masonry NC II,39,Female,Junior High,Underemployed,Electronics,Manufacturing,New Entrant,Dropout
Balingasag,Landscape Installation and Maintenance (Softscape),29,Male,College Undergraduate,Self-employed,Landscaping,Agriculture,Experienced Worker,Graduate
Lag-asan,Bookkeeping NC II,25,Male,Junior High,Underemployed,Bookkeeping,Business,New Entrant,Dropout
Poblacion,Bread and Pastry NC II,26,Male,Senior High,Unemployed,Baking,Hospitality,Returning Learner,Dropout
Mailum,Electronic Products Assembly and Servicing NC II,24,Female,Junior High,Underemployed,Electronics,Manufacturing,Career Shifter,Dropout
Balingasag,Bread and Pastry NC II,31,Female,Senior High,Self-employed,Baking,Hospitality,New Entrant,Dropout
Balingasag,Shielded Metal Arc Welding NC I,40,Male,Senior High,Wage Employed,Driving,Transportation,Career Shifter,Dropout
Poblacion,Driving NC II,23,Female,College Undergraduate,Wage Employed,Driving,Transportation,Experienced Worker,Dropout
Bacong,Machining NC II,35,Male,Senior High,Unemployed,Machining,Manufacturing,New Entrant,Dropout
Poblacion,Carpentry NC II,40,Male,College Undergraduate,Unemployed,Carpentry,Education,Returning Learner,Dropout
Caridad,Driving NC II,36,Female,Junior High,Wage Employed,Driving,Transportation,Experienced Worker,Graduate
Dulao,Masonry NC I,42,Female,Senior High,Underemployed,Masonry,Construction,Returning Learner,Graduate
Balingasag,Machining NC II,45,Female,College Undergraduate,Underemployed,Bookkeeping,Business,Career Shifter,Graduate
Bagroy,Computer Systems Servicing NC II,29,Male,College Undergraduate,Self-employed,Computer Literacy,ICT,Returning Learner,Graduate
Sagasa,Construction Painting NC II,37,Male,Senior High,Self-employed,Painting,Hospitality,Returning Learner,Graduate
Bagroy,Computer Systems Servicing NC II,50,Male,College Graduate,Unemployed,Computer Literacy,ICT,New Entrant,Dropout
Alianza,Carpentry NC II,37,Male,Elementary Graduate,Unemployed,Carpentry,Construction,Returning Learner,Graduate
Alianza,Electrical Installation and Maintenance NC II,30,Male,Senior High,Unemployed,Electrical Repair,Construction,New Entrant,Graduate
Bagroy,Machining NC II,36,Female,Senior High,Wage Employed,Machining,Manufacturing,Experienced Worker,Graduate
Lag-asan,Electronic Products Assembly and Servicing NC II,41,Male,Senior High,Unemployed,Electrical Repair,Construction,Career Shifter,Dropout
Alianza,Bookkeeping NC II,27,Male,College Undergraduate,Self-employed,Bookkeeping,Business,Experienced Worker,Graduate
Napoles,Electronic Products Assembly and Servicing NC II,34,Male,Senior High,Underemployed,Electronics,Manufacturing,Experienced Worker,Dropout
Binubuhan,Masonry NC II,29,Male,Junior High,Underemployed,Masonry,Construction,Returning Learner,Graduate
Poblacion,Machining NC II,33,Male,Senior High,Self-employed,Machining,Manufacturing,Returning Learner,Dropout
Binubuhan,Construction Painting NC II,29,Male,Senior High,Wage Employed,Painting,Construction,Returning Learner,Graduate
Alianza,HEO (Forklift) NC II,41,Male,College Graduate,Unemployed,Heavy Equipment Operation,Education,Experienced Worker,Dropout
Caridad,Computer Systems Servicing NC II,40,Female,College Undergraduate,Self-employed,Computer Literacy,ICT,Experienced Worker,Dropout
Abuanan,Computer Systems Servicing NC II,40,Female,College Graduate,Unemployed,Computer Literacy,ICT,Returning Learner,Dropout
Calumangan,Machining NC II,46,Male,College Graduate,Wage Employed,Machining,Manufacturing,Returning Learner,Dropout
Balingasag,Driving NC II,27,Male,College Undergraduate,Unemployed,Driving,Transportation,New Entrant,Graduate
Sagasa,Trainers Methodology Level I,26,Male,Elementary Graduate,Unemployed,Training Delivery,Education,New Entrant,Dropout
Ma-ao,HEO (Hydraulic Excavator) NC II,22,Male,Junior High,Underemployed,Heavy Equipment Operation,Hospitality,Career Shifter,Dropout
Dulao,Machining NC I,45,Male,Senior High,Underemployed,Machining,Manufacturing,Returning Learner,Dropout
Bagroy,Shielded Metal Arc Welding NC I,32,Female,Junior High,Underemployed,Welding,Construction,Experienced Worker,Dropout
Binubuhan,Driving NC II,22,Male,Senior High,Wage Employed,Driving,Transportation,New Entrant,Dropout
Sagasa,Masonry NC II,36,Male,Elementary Graduate,Unemployed,Welding,Construction,Career Shifter,Graduate
Busay,Masonry NC I,35,Male,Junior High,Wage Employed,Carpentry,Construction,New Entrant,Graduate
Sagasa,Shielded Metal Arc Welding NC II,37,Male,College Undergraduate,Wage Employed,Welding,Business,New Entrant,Dropout
Caridad,Landscape Installation and Maintenance (Softscape),22,Male,Junior High,Unemployed,Welding,Construction,Returning Learner,Graduate
Calumangan,Masonry NC II,24,Male,Junior High,Unemployed,Masonry,Construction,Returning Learner,Graduate
Bagroy,Bread and Pastry NC II,38,Female,Senior High,Unemployed,Baking,Hospitality,New Entrant,Graduate
Abuanan,Construction Painting NC II,22,Male,Elementary Graduate,Underemployed,Painting,Construction,Returning Learner,Graduate
Lag-asan,Trainers Methodology Level I,37,Male,College Undergraduate,Underemployed,Training Delivery,Education,Returning Learner,Graduate
Ilijan,Masonry NC I,44,Female,Senior High,Self-employed,Cooking,Hospitality,Career Shifter,Dropout
Lag-asan,Shielded Metal Arc Welding NC I,26,Male,Senior High,Unemployed,Welding,Construction,New Entrant,Dropout
Taloc,Electrical Installation and Maintenance NC II,35,Male,College Graduate,Self-employed,Baking,Hospitality,Career Shifter,Dropout
Dulao,Machining NC II,39,Male,Senior High,Underemployed,Bookkeeping,Business,New Entrant,Dropout
Calumangan,Bookkeeping NC II,47,Male,College Undergraduate,Wage Employed,Bookkeeping,Business,Returning Learner,Graduate
Abuanan,Construction Painting NC II,35,Male,Junior High,Wage Employed,Painting,Construction,Experienced Worker,Graduate
Mailum,Machining NC I,25,Male,Junior High,Self-employed,Machining,Manufacturing,Returning Learner,Dropout
Caridad,Electronic Products Assembly and Servicing NC II,26,Female,Senior High,Wage Employed,Electronics,Manufacturing,Career Shifter,Dropout
Malingin,HEO (Forklift) NC II,42,Male,Junior High,Wage Employed,Heavy Equipment Operation,Construction,Returning Learner,Dropout
Napoles,Electrical Installation and Maintenance NC II,30,Male,Elementary Graduate,Unemployed,Electrical Repair,Construction,New Entrant,Graduate
Balingasag,Electronic Products Assembly and Servicing NC II,22,Male,Junior High,Wage Employed,Electronics,Manufacturing,Returning Learner,Graduate
Sagasa,Organic Agriculture Production NC II,26,Male,Junior High,Unemployed,Organic Farming,Agriculture,Career Shifter,Graduate
Abuanan,Electronic Products Assembly and Servicing NC II,23,Male,Senior High,Wage Employed,Masonry,Construction,Returning Learner,Dropout
Bacong,Machining NC II,24,Male,Junior High,Underemployed,Machining,Transportation,New Entrant,Graduate
Dulao,Construction Painting NC II,18,Male,Junior High,Unemployed,Painting,Construction,New Entrant,Graduate
Tabunan,Computer Systems Servicing NC II,45,Male,College Undergraduate,Unemployed,Computer Literacy,ICT,New Entrant,Dropout
Alianza,Trainers Methodology Level I,50,Female,College Graduate,Self-employed,Training Delivery,Education,Experienced Worker,Dropout
Tabunan,Masonry NC II,30,Male,Junior High,Underemployed,Masonry,ICT,New Entrant,Graduate
Bagroy,Cookery NC II,36,Female,Junior High,Underemployed,Cooking,Hospitality,New Entrant,Graduate
Binubuhan,Organic Agriculture Production NC II,22,Male,Elementary Graduate,Underemployed,Masonry,Construction,New Entrant,Dropout
Busay,Landscape Installation and Maintenance (Softscape),45,Male,Senior High,Underemployed,Landscaping,Agriculture,Career Shifter,Graduate
Ma-ao,Landscape Installation and Maintenance (Softscape),24,Male,Elementary Graduate,Underemployed,Landscaping,Agriculture,Returning Learner,Dropout
Malingin,Shielded Metal Arc Welding NC I,38,Male,Senior High,Unemployed,Welding,Construction,New Entrant,Dropout
Lag-asan,Computer Systems Servicing NC II,44,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Experienced Worker,Graduate
Abuanan,Construction Painting NC II,22,Male,College Undergraduate,Self-employed,Computer Literacy,Education,New Entrant,Dropout
Bagroy,Electrical Installation and Maintenance NC II,38,Male,College Undergraduate,Wage Employed,Electrical Repair,Construction,Experienced Worker,Dropout
Busay,Landscape Installation and Maintenance (Softscape),27,Female,Elementary Graduate,Underemployed,Landscaping,Agriculture,New Entrant,Dropout
Pacol,Driving NC II,37,Male,Elementary Graduate,Unemployed,Driving,Transportation,New Entrant,Graduate
Bagroy,Electrical Installation and Maintenance NC II,23,Male,Elementary Graduate,Unemployed,Electrical Repair,Manufacturing,New Entrant,Dropout
Tabunan,Driving NC II,30,Male,Senior High,Unemployed,Welding,Agriculture,Returning Learner,Dropout
Mailum,Electrical Installation and Maintenance NC II,32,Male,Elementary Graduate,Unemployed,Electrical Repair,Construction,Returning Learner,Graduate
Mailum,Bread and Pastry NC II,43,Female,Senior High,Underemployed,Baking,Hospitality,Returning Learner,Graduate
Ma-ao,Shielded Metal Arc Welding NC I,23,Male,Junior High,Underemployed,Welding,Construction,Experienced Worker,Dropout
Calumangan,HEO (Hydraulic Excavator) NC II,36,Male,Senior High,Underemployed,Heavy Equipment Operation,Construction,New Entrant,Dropout
Taloc,Trainers Methodology Level I,27,Female,College Undergraduate,Wage Employed,Training Delivery,Education,Career Shifter,Graduate
Tabunan,Machining NC II,23,Male,Senior High,Underemployed,Driving,Transportation,New Entrant,Dropout
Malingin,Trainers Methodology Level I,21,Male,College Undergraduate,Wage Employed,Training Delivery,Education,Career Shifter,Graduate
Napoles,Driving NC II,46,Male,College Graduate,Wage Employed,Driving,Transportation,Career Shifter,Graduate
Bacong,Trainers Methodology Level I,28,Male,College Undergraduate,Wage Employed,Computer Literacy,ICT,Returning Learner,Graduate
Tabunan,Construction Painting NC II,40,Male,Senior High,Underemployed,Electrical Repair,Construction,Returning Learner,Dropout
Sagasa,Construction Painting NC II,32,Male,Senior High,Self-employed,Painting,Construction,Returning Learner,Graduate
Ma-ao,Carpentry NC II,29,Male,Elementary Graduate,Unemployed,Carpentry,Construction,Returning Learner,Graduate
Binubuhan,Electronic Products Assembly and Servicing NC II,31,Female,Senior High,Underemployed,Electronics,Construction,New Entrant,Graduate
Alianza,Computer Systems Servicing NC II,41,Female,College Graduate,Wage Employed,Computer Literacy,ICT,Career Shifter,Dropout
Napoles,Construction Painting NC II,18,Female,Senior High,Wage Employed,Painting,Construction,Returning Learner,Graduate
Alianza,Bookkeeping NC II,43,Male,College Graduate,Underemployed,Bookkeeping,Business,Experienced Worker,Graduate
Ilijan,Machining NC I,37,Female,Senior High,Unemployed,Machining,Manufacturing,Returning Learner,Graduate
Binubuhan,Driving NC II,35,Male,Junior High,Wage Employed,Driving,Transportation,Returning Learner,Dropout
Caridad,Cookery NC II,30,Female,Elementary Graduate,Wage Employed,Cooking,Hospitality,New Entrant,Dropout
Calumangan,HEO (Forklift) NC II,37,Female,College Undergraduate,Wage Employed,Heavy Equipment Operation,ICT,New Entrant,Dropout
Bacong,Trainers Methodology Level I,30,Male,College Undergraduate,Self-employed,Training Delivery,Education,Experienced Worker,Graduate
Dulao,Construction Painting NC II,27,Male,Elementary Graduate,Self-employed,Painting,Construction,Experienced Worker,Dropout
Binubuhan,Bookkeeping NC II,22,Female,College Undergraduate,Underemployed,Bookkeeping,ICT,Career Shifter,Dropout
Malingin,Driving NC II,27,Male,College Graduate,Underemployed,Driving,Transportation,Experienced Worker,Dropout
Ilijan,Shielded Metal Arc Welding NC II,22,Male,Senior High,Underemployed,Welding,Construction,New Entrant,Graduate
Busay,Electronic Products Assembly and Servicing NC II,40,Male,Senior High,Unemployed,Electronics,Manufacturing,Experienced Worker,Dropout
Taloc,Driving NC II,21,Male,Senior High,Underemployed,Driving,Transportation,New Entrant,Graduate
Abuanan,Construction Painting NC II,38,Male,College Undergraduate,Wage Employed,Painting,Construction,Experienced Worker,Dropout
Napoles,Cookery NC II,31,Female,College Undergraduate,Wage Employed,Cooking,Hospitality,Experienced Worker,Graduate
Tabunan,Machining NC I,23,Male,Senior High,Wage Employed,Machining,Manufacturing,Experienced Worker,Dropout
Sagasa,Electronic Products Assembly and Servicing NC II,40,Female,Senior High,Wage Employed,Welding,Construction,Career Shifter,Dropout
Poblacion,Bookkeeping NC II,26,Male,College Undergraduate,Wage Employed,Bookkeeping,Business,Experienced Worker,Graduate
Dulao,Machining NC I,36,Male,Junior High,Underemployed,Machining,Manufacturing,Returning Learner,Dropout
Calumangan,Shielded Metal Arc Welding NC II,45,Male,College Undergraduate,Wage Employed,Welding,Construction,Experienced Worker,Graduate
Taloc,Organic Agriculture Production NC II,42,Male,Junior High,Unemployed,Organic Farming,Agriculture,Returning Learner,Graduate
Bagroy,HEO (Bulldozer) NC II,23,Male,Junior High,Underemployed,Heavy Equipment Operation,Construction,New Entrant,Dropout
Balingasag,Driving NC II,34,Male,Senior High,Underemployed,Driving,Transportation,Returning Learner,Graduate
Busay,Machining NC I,43,Male,College Undergraduate,Underemployed,Machining,Manufacturing,Experienced Worker,Graduate
Napoles,Electrical Installation and Maintenance NC II,23,Female,Elementary Graduate,Self-employed,Electrical Repair,Construction,Experienced Worker,Dropout
Mailum,Machining NC II,27,Male,Senior High,Underemployed,Machining,Manufacturing,New Entrant,Dropout
