date,course,applicant_count
2021-01-06,Landscape Installation and Maintenance (Softscape),3
2021-01-06,Machining NC I,1
2021-01-06,Machining NC II,4
2021-01-06,Masonry NC I,3
2021-01-06,Masonry NC II,4
2021-01-06,Organic Agriculture Production NC II,4
2021-01-06,Shielded Metal Arc Welding NC I,3
2021-01-06,Shielded Metal Arc Welding NC II,1
2021-01-06,Trainers Methodology Level I,0
2021-01-07,Bookkeeping NC II,8
2021-01-07,Carpentry NC II,3
2021-01-07,Computer Systems Servicing NC II,7
2021-01-07,Construction Painting NC II,4
2021-01-07,Cookery NC II,10
2021-01-07,Driving NC II,4
2021-01-07,Electrical Installation and Maintenance NC II,1
2021-01-07,Electronic Products Assembly and Servicing NC II,3
2021-01-07,HEO (Bulldozer) NC II,4
2021-01-07,HEO (Forklift) NC II,0
2021-01-07,HEO (Hydraulic Excavator) NC II,2
2021-01-07,HEO (Wheel Loader) NC II,2
2021-01-07,Landscape Installation and Maintenance (Softscape),5
2021-01-07,Machining NC I,0
2021-01-07,Machining NC II,3
2021-01-07,Masonry NC I,5
2021-01-07,Masonry NC II,4
2021-01-07,Organic Agriculture Production NC II,2
2021-01-07,Shielded Metal Arc Welding NC I,4
2021-01-07,Shielded Metal Arc Welding NC II,2
2021-01-07,Trainers Methodology Level I,3
2021-01-08,Bookkeeping NC II,3
2021-01-08,Carpentry NC II,3
2021-01-08,Computer Systems Servicing NC II,5
2021-01-08,Construction Painting NC II,8
2021-01-08,Cookery NC II,10
2021-01-08,Driving NC II,7
2021-01-08,Electrical Installation and Maintenance NC II,0
2021-01-08,Electronic Products Assembly and Servicing NC II,3
2021-01-08,HEO (Bulldozer) NC II,1
2021-01-08,HEO (Forklift) NC II,0
2021-01-08,HEO (Hydraulic Excavator) NC II,0
2021-01-08,HEO (Wheel Loader) NC II,1
2021-01-08,Landscape Installation and Maintenance (Softscape),1
2021-01-08,Machining NC I,1
2021-01-08,Machining NC II,3
2021-01-08,Masonry NC I,2
2021-01-08,Masonry NC II,4
2021-01-08,Organic Agriculture Production NC II,3
2021-01-08,Shielded Metal Arc Welding NC I,2
2021-01-08,Shielded Metal Arc Welding NC II,3
2021-01-08,Trainers Methodology Level I,5
2021-01-09,Bookkeeping NC II,6
2021-01-09,Carpentry NC II,4
2021-01-09,Computer Systems Servicing NC II,3
2021-01-09,Construction Painting NC II,1
2021-01-09,Cookery NC II,7
2021-01-09,Driving NC II,3
2021-01-09,Electrical Installation and Maintenance NC II,1
2021-01-09,Electronic Products Assembly and Servicing NC II,3
2021-01-09,HEO (Bulldozer) NC II,1
2021-01-09,HEO (Forklift) NC II,2
2021-01-09,HEO (Hydraulic Excavator) NC II,4
2021-01-09,HEO (Wheel Loader) NC II,2
2021-01-09,Landscape Installation and Maintenance (Softscape),0
2021-01-09,Machining NC I,5
2021-01-09,Machining NC II,1
2021-01-09,Masonry NC I,0
2021-01-09,Masonry NC II,0
2021-01-09,Organic Agriculture Production NC II,3
2021-01-09,Shielded Metal Arc Welding NC I,2
2021-01-09,Shielded Metal Arc Welding NC II,3
2021-01-09,Trainers Methodology Level I,2
2021-01-10,Bookkeeping NC II,2
2021-01-10,Carpentry NC II,3
2021-01-10,Computer Systems Servicing NC II,5
2021-01-10,Construction Painting NC II,0
2021-01-10,Cookery NC II,4
2021-01-10,Driving NC II,4
2021-01-10,Electrical Installation and Maintenance NC II,1
2021-01-10,Electronic Products Assembly and Servicing NC II,6
2021-01-10,HEO (Bulldozer) NC II,1
2021-01-10,HEO (Forklift) NC II,1
2021-01-10,HEO (Hydraulic Excavator) NC II,1
2021-01-10,HEO (Wheel Loader) NC II,3
2021-01-10,Landscape Installation and Maintenance (Softscape),1
2021-01-10,Machining NC I,2
2021-01-10,Machining NC II,0
2021-01-10,Masonry NC I,2
2021-01-10,Masonry NC II,2
2021-01-10,Organic Agriculture Production NC II,0
2021-01-10,Shielded Metal Arc Welding NC I,2
2021-01-10,Shielded Metal Arc Welding NC II,4
2021-01-10,Trainers Methodology Level I,0
2021-01-11,Bookkeeping NC II,6
2021-01-11,Carpentry NC II,1
2021-01-11,Computer Systems Servicing NC II,8
2021-01-11,Construction Painting NC II,2
2021-01-11,Cookery NC II,4
2021-01-11,Driving NC II,3
2021-01-11,Electrical Installation and Maintenance NC II,8
2021-01-11,Electronic Products Assembly and Servicing NC II,1
2021-01-11,HEO (Bulldozer) NC II,0
2021-01-11,HEO (Forklift) NC II,4
2021-01-11,HEO (Hydraulic Excavator) NC II,2
2021-01-11,HEO (Wheel Loader) NC II,1
2021-01-11,Landscape Installation and Maintenance (Softscape),3
2021-01-11,Machining NC I,4
2021-01-11,Machining NC II,1
2021-01-11,Masonry NC I,3
2021-01-11,Masonry NC II,5
2021-01-11,Organic Agriculture Production NC II,2
2021-01-11,Shielded Metal Arc Welding NC I,4
2021-01-11,Shielded Metal Arc Welding NC II,3
2021-01-11,Trainers Methodology Level I,1
2021-01-12,Bookkeeping NC II,5
2021-01-12,Carpentry NC II,3
2021-01-12,Computer Systems Servicing NC II,6
2021-01-12,Construction Painting NC II,1
2021-01-12,Cookery NC II,5
2021-01-12,Driving NC II,6
2021-01-12,Electrical Installation and Maintenance NC II,3
2021-01-12,Electronic Products Assembly and Servicing NC II,6
2021-01-12,HEO (Bulldozer) NC II,3
2021-01-12,HEO (Forklift) NC II,2
2021-01-12,HEO (Hydraulic Excavator) NC II,3
2021-01-12,HEO (Wheel Loader) NC II,2
2021-01-12,Landscape Installation and Maintenance (Softscape),1
2021-01-12,Machining NC I,3
2021-01-12,Machining NC II,1
2021-01-12,Masonry NC I,3
2021-01-12,Masonry NC II,3
2021-01-12,Organic Agriculture Production NC II,3
2021-01-12,Shielded Metal Arc Welding NC I,2
2021-01-12,Shielded Metal Arc Welding NC II,4
2021-01-12,Trainers Methodology Level I,1
2021-01-13,Bookkeeping NC II,7
2021-01-13,Carpentry NC II,5
2021-01-13,Computer Systems Servicing NC II,7
2021-01-13,Construction Painting NC II,4
2021-01-13,Cookery NC II,8
2021-01-13,Driving NC II,6
2021-01-13,Electrical Installation and Maintenance NC II,5
2021-01-13,Electronic Products Assembly and Servicing NC II,2
2021-01-13,HEO (Bulldozer) NC II,1
2021-01-13,HEO (Forklift) NC II,1
2021-01-13,HEO (Hydraulic Excavator) NC II,0
2021-01-13,HEO (Wheel Loader) NC II,2
2021-01-13,Landscape Installation and Maintenance (Softscape),2
2021-01-13,Machining NC I,1
2021-01-13,Machining NC II,5
2021-01-13,Masonry NC I,3
2021-01-13,Masonry NC II,1
2021-01-13,Organic Agriculture Production NC II,3
2021-01-13,Shielded Metal Arc Welding NC I,2
2021-01-13,Shielded Metal Arc Welding NC II,2
2021-01-13,Trainers Methodology Level I,2
2021-01-14,Bookkeeping NC II,1
2021-01-14,Carpentry NC II,4
2021-01-14,Computer Systems Servicing NC II,0
2021-01-14,Construction Painting NC II,2
2021-01-14,Cookery NC II,10
2021-01-14,Driving NC II,3
2021-01-14,Electrical Installation and Maintenance NC II,2
2021-01-14,Electronic Products Assembly and Servicing NC II,5
2021-01-14,HEO (Bulldozer) NC II,1
2021-01-14,HEO (Forklift) NC II,2
2021-01-14,HEO (Hydraulic Excavator) NC II,2
2021-01-14,HEO (Wheel Loader) NC II,1
2021-01-14,Landscape Installation and Maintenance (Softscape),1
2021-01-14,Machining NC I,1
2021-01-14,Machining NC II,3
2021-01-14,Masonry NC I,2
2021-01-14,Masonry NC II,1
2021-01-14,Organic Agriculture Production NC II,3
2021-01-14,Shielded Metal Arc Welding NC I,5
2021-01-14,Shielded Metal Arc Welding NC II,0
2021-01-14,Trainers Methodology Level I,2
2021-01-15,Bookkeeping NC II,3
2021-01-15,Carpentry NC II,1
2021-01-15,Computer Systems Servicing NC II,6
2021-01-15,Construction Painting NC II,0
2021-01-15,Cookery NC II,9
2021-01-15,Driving NC II,3
2021-01-15,Electrical Installation and Maintenance NC II,6
2021-01-15,Electronic Products Assembly and Servicing NC II,4
2021-01-15,HEO (Bulldozer) NC II,3
2021-01-15,HEO (Forklift) NC II,3
2021-01-15,HEO (Hydraulic Excavator) NC II,2
2021-01-15,HEO (Wheel Loader) NC II,1
2021-01-15,Landscape Installation and Maintenance (Softscape),5
2021-01-15,Machining NC I,1
2021-01-15,Machining NC II,1
2021-01-15,Masonry NC I,4
2021-01-15,Masonry NC II,3
2021-01-15,Organic Agriculture Production NC II,2
2021-01-15,Shielded Metal Arc Welding NC I,1
2021-01-15,Shielded Metal Arc Welding NC II,2
2021-01-15,Trainers Methodology Level I,3
2021-01-16,Bookkeeping NC II,3
2021-01-16,Carpentry NC II,0
2021-01-16,Computer Systems Servicing NC II,0
2021-01-16,Construction Painting NC II,0
2021-01-16,Cookery NC II,2
2021-01-16,Driving NC II,4
2021-01-16,Electrical Installation and Maintenance NC II,3
2021-01-16,Electronic Products Assembly and Servicing NC II,1
2021-01-16,HEO (Bulldozer) NC II,1
2021-01-16,HEO (Forklift) NC II,2
2021-01-16,HEO (Hydraulic Excavator) NC II,1
2021-01-16,HEO (Wheel Loader) NC II,1
2021-01-16,Landscape Installation and Maintenance (Softscape),0
2021-01-16,Machining NC I,1
2021-01-16,Machining NC II,2
2021-01-16,Masonry NC I,0
2021-01-16,Masonry NC II,1
2021-01-16,Organic Agriculture Production NC II,0
2021-01-16,Shielded Metal Arc Welding NC I,3
2021-01-16,Shielded Metal Arc Welding NC II,2
2021-01-16,Trainers Methodology Level I,1
2021-01-17,Bookkeeping NC II,3
2021-01-17,Carpentry NC II,0
2021-01-17,Computer Systems Servicing NC II,4
2021-01-17,Construction Painting NC II,2
2021-01-17,Cookery NC II,5
2021-01-17,Driving NC II,7
2021-01-17,Electrical Installation and Maintenance NC II,3
2021-01-17,Electronic Products Assembly and Servicing NC II,2
2021-01-17,HEO (Bulldozer) NC II,2
2021-01-17,HEO (Forklift) NC II,1
2021-01-17,HEO (Hydraulic Excavator) NC II,0
2021-01-17,HEO (Wheel Loader) NC II,2
2021-01-17,Landscape Installation and Maintenance (Softscape),3
2021-01-17,Machining NC I,3
2021-01-17,Machining NC II,0
2021-01-17,Masonry NC I,3
2021-01-17,Masonry NC II,3
2021-01-17,Organic Agriculture Production NC II,2
2021-01-17,Shielded Metal Arc Welding NC I,1
2021-01-17,Shielded Metal Arc Welding NC II,1
2021-01-17,Trainers Methodology Level I,2
2021-01-18,Bookkeeping NC II,5
2021-01-18,Carpentry NC II,3
2021-01-18,Computer Systems Servicing NC II,6
2021-01-18,Construction Painting NC II,4
2021-01-18,Cookery NC II,9
2021-01-18,Driving NC II,5
2021-01-18,Electrical Installation and Maintenance NC II,1
2021-01-18,Electronic Products Assembly and Servicing NC II,0
2021-01-18,HEO (Bulldozer) NC II,1
2021-01-18,HEO (Forklift) NC II,6
2021-01-18,HEO (Hydraulic Excavator) NC II,1
2021-01-18,HEO (Wheel Loader) NC II,3
2021-01-18,Landscape Installation and Maintenance (Softscape),1
2021-01-18,Machining NC I,1
2021-01-18,Machining NC II,4
2021-01-18,Masonry NC I,5
2021-01-18,Masonry NC II,2
2021-01-18,Organic Agriculture Production NC II,3
2021-01-18,Shielded Metal Arc Welding NC I,3
2021-01-18,Shielded Metal Arc Welding NC II,4
2021-01-18,Trainers Methodology Level I,2
2021-01-19,Bookkeeping NC II,7
2021-01-19,Carpentry NC II,5
2021-01-19,Computer Systems Servicing NC II,8
2021-01-19,Construction Painting NC II,2
2021-01-19,Cookery NC II,7
2021-01-19,Driving NC II,10
2021-01-19,Electrical Installation and Maintenance NC II,3
2021-01-19,Electronic Products Assembly and Servicing NC II,4
2021-01-19,HEO (Bulldozer) NC II,1
2021-01-19,HEO (Forklift) NC II,1
2021-01-19,HEO (Hydraulic Excavator) NC II,2
2021-01-19,HEO (Wheel Loader) NC II,2
2021-01-19,Landscape Installation and Maintenance (Softscape),4
2021-01-19,Machining NC I,0
2021-01-19,Machining NC II,0
2021-01-19,Masonry NC I,1
2021-01-19,Masonry NC II,1
2021-01-19,Organic Agriculture Production NC II,1
2021-01-19,Shielded Metal Arc Welding NC I,5
2021-01-19,Shielded Metal Arc Welding NC II,2
2021-01-19,Trainers Methodology Level I,0
2021-01-20,Bookkeeping NC II,4
2021-01-20,Carpentry NC II,3
2021-01-20,Computer Systems Servicing NC II,9
2021-01-20,Construction Painting NC II,2
2021-01-20,Cookery NC II,5
2021-01-20,Driving NC II,6
2021-01-20,Electrical Installation and Maintenance NC II,4
2021-01-20,Electronic Products Assembly and Servicing NC II,6
2021-01-20,HEO (Bulldozer) NC II,0
2021-01-20,HEO (Forklift) NC II,1
2021-01-20,HEO (Hydraulic Excavator) NC II,3
2021-01-20,HEO (Wheel Loader) NC II,1
2021-01-20,Landscape Installation and Maintenance (Softscape),2
2021-01-20,Machining NC I,3
2021-01-20,Machining NC II,3
2021-01-20,Masonry NC I,3
2021-01-20,Masonry NC II,4
2021-01-20,Organic Agriculture Production NC II,6
2021-01-20,Shielded Metal Arc Welding NC I,9
2021-01-20,Shielded Metal Arc Welding NC II,5
2021-01-20,Trainers Methodology Level I,1
2021-01-21,Bookkeeping NC II,6
2021-01-21,Carpentry NC II,5
2021-01-21,Computer Systems Servicing NC II,6
2021-01-21,Construction Painting NC II,3
2021-01-21,Cookery NC II,6
2021-01-21,Driving NC II,7
2021-01-21,Electrical Installation and Maintenance NC II,8
2021-01-21,Electronic Products Assembly and Servicing NC II,4
2021-01-21,HEO (Bulldozer) NC II,0
2021-01-21,HEO (Forklift) NC II,6
2021-01-21,HEO (Hydraulic Excavator) NC II,0
2021-01-21,HEO (Wheel Loader) NC II,1
2021-01-21,Landscape Installation and Maintenance (Softscape),1
2021-01-21,Machining NC I,5
2021-01-21,Machining NC II,4
2021-01-21,Masonry NC I,0
2021-01-21,Masonry NC II,1
2021-01-21,Organic Agriculture Production NC II,2
2021-01-21,Shielded Metal Arc Welding NC I,4
2021-01-21,Shielded Metal Arc Welding NC II,1
2021-01-21,Trainers Methodology Level I,0
2021-01-22,Bookkeeping NC II,3
2021-01-22,Carpentry NC II,4
2021-01-22,Computer Systems Servicing NC II,5
2021-01-22,Construction Painting NC II,0
2021-01-22,Cookery NC II,3
2021-01-22,Driving NC II,10
2021-01-22,Electrical Installation and Maintenance NC II,5
2021-01-22,Electronic Products Assembly and Servicing NC II,1
2021-01-22,HEO (Bulldozer) NC II,1
2021-01-22,HEO (Forklift) NC II,1
2021-01-22,HEO (Hydraulic Excavator) NC II,1
2021-01-22,HEO (Wheel Loader) NC II,4
2021-01-22,Landscape Installation and Maintenance (Softscape),2
2021-01-22,Machining NC I,0
2021-01-22,Machining NC II,3
2021-01-22,Masonry NC I,0
2021-01-22,Masonry NC II,4
2021-01-22,Organic Agriculture Production NC II,0
2021-01-22,Shielded Metal Arc Welding NC I,5
2021-01-22,Shielded Metal Arc Welding NC II,3
2021-01-22,Trainers Methodology Level I,3
2021-01-23,Bookkeeping NC II,1
2021-01-23,Carpentry NC II,2
2021-01-23,Computer Systems Servicing NC II,1
2021-01-23,Construction Painting NC II,4
2021-01-23,Cookery NC II,3
2021-01-23,Driving NC II,4
2021-01-23,Electrical Installation and Maintenance NC II,4
2021-01-23,Electronic Products Assembly and Servicing NC II,2
2021-01-23,HEO (Bulldozer) NC II,0
2021-01-23,HEO (Forklift) NC II,0
2021-01-23,HEO (Hydraulic Excavator) NC II,0
2021-01-23,HEO (Wheel Loader) NC II,3
2021-01-23,Landscape Installation and Maintenance (Softscape),0
2021-01-23,Machining NC I,1
2021-01-23,Machining NC II,0
2021-01-23,Masonry NC I,2
2021-01-23,Masonry NC II,2
2021-01-23,Organic Agriculture Production NC II,2
2021-01-23,Shielded Metal Arc Welding NC I,1
2021-01-23,Shielded Metal Arc Welding NC II,1
2021-01-23,Trainers Methodology Level I,0
2021-01-24,Bookkeeping NC II,4
2021-01-24,Carpentry NC II,0
2021-01-24,Computer Systems Servicing NC II,2
2021-01-24,Construction Painting NC II,2
2021-01-24,Cookery NC II,7
2021-01-24,Driving NC II,8
2021-01-24,Electrical Installation and Maintenance NC II,2
2021-01-24,Electronic Products Assembly and Servicing NC II,2
2021-01-24,HEO (Bulldozer) NC II,0
2021-01-24,HEO (Forklift) NC II,4
2021-01-24,HEO (Hydraulic Excavator) NC II,1
2021-01-24,HEO (Wheel Loader) NC II,2
2021-01-24,Landscape Installation and Maintenance (Softscape),0
2021-01-24,Machining NC I,1
2021-01-24,Machining NC II,1
2021-01-24,Masonry NC I,1
2021-01-24,Masonry NC II,2
2021-01-24,Organic Agriculture Production NC II,2
2021-01-24,Shielded Metal Arc Welding NC I,4
2021-01-24,Shielded Metal Arc Welding NC II,3
2021-01-24,Trainers Methodology Level I,1
2021-01-25,Bookkeeping NC II,4
2021-01-25,Carpentry NC II,2
2021-01-25,Computer Systems Servicing NC II,6
2021-01-25,Construction Painting NC II,4
2021-01-25,Cookery NC II,9
2021-01-25,Driving NC II,9
2021-01-25,Electrical Installation and Maintenance NC II,5
2021-01-25,Electronic Products Assembly and Servicing NC II,3
2021-01-25,HEO (Bulldozer) NC II,1
2021-01-25,HEO (Forklift) NC II,5
2021-01-25,HEO (Hydraulic Excavator) NC II,2
2021-01-25,HEO (Wheel Loader) NC II,1
2021-01-25,Landscape Installation and Maintenance (Softscape),1
2021-01-25,Machining NC I,4
2021-01-25,Machining NC II,1
2021-01-25,Masonry NC I,1
2021-01-25,Masonry NC II,3
2021-01-25,Organic Agriculture Production NC II,5
2021-01-25,Shielded Metal Arc Welding NC I,2
2021-01-25,Shielded Metal Arc Welding NC II,2
2021-01-25,Trainers Methodology Level I,1
2021-01-26,Bookkeeping NC II,5
2021-01-26,Carpentry NC II,1
2021-01-26,Computer Systems Servicing NC II,7
2021-01-26,Construction Painting NC II,4
2021-01-26,Cookery NC II,5
2021-01-26,Driving NC II,4
2021-01-26,Electrical Installation and Maintenance NC II,6
2021-01-26,Electronic Products Assembly and Servicing NC II,2
2021-01-26,HEO (Bulldozer) NC II,1
2021-01-26,HEO (Forklift) NC II,1
2021-01-26,HEO (Hydraulic Excavator) NC II,0
2021-01-26,HEO (Wheel Loader) NC II,1
2021-01-26,Landscape Installation and Maintenance (Softscape),2
2021-01-26,Machining NC I,3
2021-01-26,Machining NC II,0
2021-01-26,Masonry NC I,4
2021-01-26,Masonry NC II,3
2021-01-26,Organic Agriculture Production NC II,3
2021-01-26,Shielded Metal Arc Welding NC I,2
2021-01-26,Shielded Metal Arc Welding NC II,2
2021-01-26,Trainers Methodology Level I,2
2021-01-27,Bookkeeping NC II,4
2021-01-27,Carpentry NC II,7
2021-01-27,Computer Systems Servicing NC II,7
2021-01-27,Construction Painting NC II,5
2021-01-27,Cookery NC II,10
2021-01-27,Driving NC II,10
2021-01-27,Electrical Installation and Maintenance NC II,2
2021-01-27,Electronic Products Assembly and Servicing NC II,3
2021-01-27,HEO (Bulldozer) NC II,4
2021-01-27,HEO (Forklift) NC II,3
2021-01-27,HEO (Hydraulic Excavator) NC II,3
2021-01-27,HEO (Wheel Loader) NC II,5
2021-01-27,Landscape Installation and Maintenance (Softscape),2
2021-01-27,Machining NC I,3
2021-01-27,Machining NC II,1
2021-01-27,Masonry NC I,2
2021-01-27,Masonry NC II,1
2021-01-27,Organic Agriculture Production NC II,2
2021-01-27,Shielded Metal Arc Welding NC I,2
2021-01-27,Shielded Metal Arc Welding NC II,5
2021-01-27,Trainers Methodology Level I,1
2021-01-28,Bookkeeping NC II,5
2021-01-28,Carpentry NC II,2
2021-01-28,Computer Systems Servicing NC II,5
2021-01-28,Construction Painting NC II,4
2021-01-28,Cookery NC II,10
2021-01-28,Driving NC II,8
2021-01-28,Electrical Installation and Maintenance NC II,3
2021-01-28,Electronic Products Assembly and Servicing NC II,2
2021-01-28,HEO (Bulldozer) NC II,5
2021-01-28,HEO (Forklift) NC II,2
2021-01-28,HEO (Hydraulic Excavator) NC II,3
2021-01-28,HEO (Wheel Loader) NC II,0
2021-01-28,Landscape Installation and Maintenance (Softscape),2
2021-01-28,Machining NC I,2
2021-01-28,Machining NC II,3
2021-01-28,Masonry NC I,6
2021-01-28,Masonry NC II,2
2021-01-28,Organic Agriculture Production NC II,5
2021-01-28,Shielded Metal Arc Welding NC I,1
2021-01-28,Shielded Metal Arc Welding NC II,6
2021-01-28,Trainers Methodology Level I,3
2021-01-29,Bookkeeping NC II,6
2021-01-29,Carpentry NC II,3
2021-01-29,Computer Systems Servicing NC II,5
2021-01-29,Construction Painting NC II,1
2021-01-29,Cookery NC II,8
2021-01-29,Driving NC II,3
2021-01-29,Electrical Installation and Maintenance NC II,6
2021-01-29,Electronic Products Assembly and Servicing NC II,8
2021-01-29,HEO (Bulldozer) NC II,2
2021-01-29,HEO (Forklift) NC II,0
2021-01-29,HEO (Hydraulic Excavator) NC II,3
2021-01-29,HEO (Wheel Loader) NC II,0
2021-01-29,Landscape Installation and Maintenance (Softscape),3
2021-01-29,Machining NC I,3
2021-01-29,Machining NC II,1
2021-01-29,Masonry NC I,3
2021-01-29,Masonry NC II,4
2021-01-29,Organic Agriculture Production NC II,4
2021-01-29,Shielded Metal Arc Welding NC I,3
2021-01-29,Shielded Metal Arc Welding NC II,6
2021-01-29,Trainers Methodology Level I,1
2021-01-30,Bookkeeping NC II,0
2021-01-30,Carpentry NC II,2
2021-01-30,Computer Systems Servicing NC II,0
2021-01-30,Construction Painting NC II,0
2021-01-30,Cookery NC II,6
2021-01-30,Driving NC II,3
2021-01-30,Electrical Installation and Maintenance NC II,4
2021-01-30,Electronic Products Assembly and Servicing NC II,6
2021-01-30,HEO (Bulldozer) NC II,1
2021-01-30,HEO (Forklift) NC II,2
2021-01-30,HEO (Hydraulic Excavator) NC II,1
2021-01-30,HEO (Wheel Loader) NC II,0
2021-01-30,Landscape Installation and Maintenance (Softscape),0
2021-01-30,Machining NC I,4
2021-01-30,Machining NC II,2
2021-01-30,Masonry NC I,2
2021-01-30,Masonry NC II,2
2021-01-30,Organic Agriculture Production NC II,1
2021-01-30,Shielded Metal Arc Welding NC I,3
2021-01-30,Shielded Metal Arc Welding NC II,0
2021-01-30,Trainers Methodology Level I,0
2021-01-31,Bookkeeping NC II,4
2021-01-31,Carpentry NC II,5
2021-01-31,Computer Systems Servicing NC II,2
2021-01-31,Construction Painting NC II,2
2021-01-31,Cookery NC II,6
2021-01-31,Driving NC II,7
2021-01-31,Electrical Installation and Maintenance NC II,1
2021-01-31,Electronic Products Assembly and Servicing NC II,1
2021-01-31,HEO (Bulldozer) NC II,1
2021-01-31,HEO (Forklift) NC II,0
2021-01-31,HEO (Hydraulic Excavator) NC II,0
2021-01-31,HEO (Wheel Loader) NC II,1
2021-01-31,Landscape Installation and Maintenance (Softscape),1
